1 PROGRAM program
1 IDENTIFIER MyFirstProgram
2 VAR var
3 IDENTIFIER price
3 COLON :
3 INTEGER int
3 SEMICOLON ;
4 IDENTIFIER length
4 COLON :
4 INTEGER int
4 SEMICOLON ;
5 IDENTIFIER array
5 COLON :
5 INTARRAY intarray
5 BRACKET_L [
5 CONST 10
5 BRACKET_R ]
5 SEMICOLON ;
6 ENDVAR endvar
7 BEGIN begin
8 READ read
8 STREAM_R >>
8 IDENTIFIER price
8 SEMICOLON ;
9 READ read
9 STREAM_R >>
9 IDENTIFIER length
9 SEMICOLON ;
10 WRITE write
10 STREAM_L <<
10 IDENTIFIER price
10 SEMICOLON ;
11 WRITE write
11 STREAM_L <<
11 IDENTIFIER array
11 BRACKET_L [
11 CONST 10
11 BRACKET_R ]
11 SEMICOLON ;
13 IF if
13 BOOL bool
13 PARENTHESIS_L (
13 IDENTIFIER price
13 EQ_OP ==
13 CONST 10
13 PARENTHESIS_R )
14 THEN then
15 BEGIN begin
16 IDENTIFIER price
16 ASSIGN_OP =
16 MATH math
16 PARENTHESIS_L (
16 IDENTIFIER price
16 PLUS +
16 CONST 1
16 PARENTHESIS_R )
16 SEMICOLON ;
17 END end
18 ENDIF endif
18 SEMICOLON ;
20 IF if
20 BOOL bool
20 PARENTHESIS_L (
20 IDENTIFIER price
20 EQ_OP ==
20 CONST 10
20 PARENTHESIS_R )
21 THEN then
22 BEGIN begin
23 IDENTIFIER price
23 ASSIGN_OP =
23 MATH math
23 PARENTHESIS_L (
23 IDENTIFIER price
23 PLUS +
23 CONST 1
23 PARENTHESIS_R )
23 SEMICOLON ;
24 END end
25 ELSE else
26 BEGIN begin
27 IDENTIFIER price
27 ASSIGN_OP =
27 MATH math
27 PARENTHESIS_L (
27 IDENTIFIER price
27 MULT *
27 CONST 1
27 MINUS -
27 CONST 2
27 SLASH /
27 IDENTIFIER length
27 PARENTHESIS_R )
27 SEMICOLON ;
28 END end
29 ENDIF endif
29 SEMICOLON ;
31 WHILE while
31 BOOL bool
31 PARENTHESIS_L (
31 IDENTIFIER price
31 NE_OP !!
31 CONST 0
31 PARENTHESIS_R )
32 BEGIN begin
33 END end
34 ENDWHILE endwhile
34 SEMICOLON ;
35 END end
36 ENDPROGRAM endprogram
